ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
1,1,1,2022-11-07,Wagner,@,Manhattan,REG (Non-Conf),W 63-60 (OT),,6,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,1,3,4,0,0,0,0,0,3,3.6,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
2,2,2,2022-11-10,Wagner,@,Iona,REG (Non-Conf),L 62-87,,13,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,0,0,0,0,0,0,2,2,-1.2,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
3,3,3,2022-11-13,Wagner,,Brown,REG (Non-Conf),L 62-75,,14,3,6,.500,3,5,.600,0,1,.000,.750,3,4,.750,0,2,2,0,0,0,0,2,12,8.4,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
4,4,4,2022-11-16,Wagner,@,Maryland Eastern Shore,REG (Non-Conf),W 72-60,,10,1,1,1.000,1,1,1.000,0,0,,1.500,0,1,.000,0,0,0,0,3,0,2,2,3,2.5,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
5,5,5,2022-11-20,Wagner,@,Fordham,REG (Non-Conf),L 48-95,,18,3,7,.429,1,4,.250,2,3,.667,.500,0,0,,0,1,1,0,0,0,1,2,7,1.8,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
6,6,6,2022-11-26,Wagner,,Hofstra,REG (Non-Conf),W 76-68,,7,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,1,1,4,0,-0.9,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
7,7,7,2022-12-01,Wagner,,Saint Peter's,REG (Non-Conf),W 67-50,,5,2,4,.500,0,2,.000,2,2,1.000,.500,0,0,,0,0,0,1,0,1,1,2,4,1.6,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
8,8,8,2022-12-05,Wagner,@,New Hampshire,REG (Non-Conf),L 58-64,,9,0,5,.000,0,3,.000,0,2,.000,.000,0,0,,1,1,2,0,2,0,1,1,0,-1.9,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
9,9,9,2022-12-11,Wagner,@,Syracuse,REG (Non-Conf),L 53-83,,10,1,4,.250,0,1,.000,1,3,.333,.250,1,1,1.000,0,0,0,0,1,0,0,2,3,0.8,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
10,10,10,2022-12-17,Wagner,,NJIT,REG (Non-Conf),W 68-54,,11,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,0,1,0,0,0,2,0,2,0.4,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
11,11,11,2022-12-21,Wagner,@,St. John's (NY),REG (Non-Conf),L 51-80,,15,1,3,.333,1,2,.500,0,1,.000,.500,2,2,1.000,1,2,3,0,0,0,0,0,5,4.6,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
12,12,12,2023-01-02,Wagner,@,Saint Francis (PA),REG (Conf),W 76-25,,13,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,2,2,1,1,0,0,1,0,0.5,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
13,13,13,2023-01-06,Wagner,,Merrimack,REG (Conf),W 63-61,,11,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,1,0,1,1,1,0,0,1,2,0.2,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
14,14,14,2023-01-08,Wagner,,LIU,REG (Conf),W 80-63,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
15,15,15,2023-01-16,Wagner,@,Merrimack,REG (Conf),W 69-63,,7,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,0,0,0,2,1.0,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
16,16,16,2023-01-19,Wagner,,Stonehill,REG (Conf),W 84-63,,5,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,1,0,3,1.7,Angelie Ricard,https://www.sports-reference.com/cbb/players/angelie-ricard-1.html,wagner,2022-23
