player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/alejandra-zuniga-1.html,Alejandra Zuniga,34,FR,G,5-6,njit,2023
https://www.sports-reference.com/cbb/players/kenna-squier-1.html,Kenna Squier,4,SR,G,5-9,njit,2023
https://www.sports-reference.com/cbb/players/trinity-williams-1.html,Trinity Williams,21,SO,F,6-1,njit,2023
https://www.sports-reference.com/cbb/players/aria-myers-1.html,Aria Myers,11,JR,G,5-9,njit,2023
https://www.sports-reference.com/cbb/players/lyzi-litwinko-1.html,Lyzi Litwinko,14,JR,G,5-8,njit,2023
https://www.sports-reference.com/cbb/players/reese-vaughan-1.html,Reese Vaughan,22,SO,G,5-9,njit,2023
https://www.sports-reference.com/cbb/players/maria-fux-1.html,Maria Fux,12,SR,F,6-0,njit,2023
https://www.sports-reference.com/cbb/players/kiana-brereton-1.html,Kiana Brereton,13,JR,F,6-1,njit,2023
https://www.sports-reference.com/cbb/players/grace-plummer-1.html,Grace Plummer,3,JR,G,5-9,njit,2023
https://www.sports-reference.com/cbb/players/lilly-anderson-1.html,Lilly Anderson,32,JR,F,5-11,njit,2023
https://www.sports-reference.com/cbb/players/kendle-dalrymple-1.html,Kendle Dalrymple,30,SR,G,5-6,njit,2023
https://www.sports-reference.com/cbb/players/dani-evans-1.html,Dani Evans,33,SR,F,5-11,njit,2023
https://www.sports-reference.com/cbb/players/avery-oroke-1.html,Avery O'Roke,25,FR,G,5-7,njit,2023
https://www.sports-reference.com/cbb/players/kennedy-cash-1.html,Kennedy Cash,10,SR,G,5-9,njit,2023
https://www.sports-reference.com/cbb/players/lindsey-syrek-1.html,Lindsey Syrek,2,JR,F-C,6-2,njit,2023
