player_sr_link,player_name,number,class,pos,height,school,season
https://www.sports-reference.com/cbb/players/ajulu-thatha-1.html,Ajulu Thatha,5,SO,F,6-2,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/mikayla-kinnard-1.html,Mikayla Kinnard,12,SO,G,5-11,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/allie-troeckler-1.html,Allie Troeckler,23,SR,G-F,5-10,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/mikia-keith-1.html,Mikia Keith,11,JR,G,5-4,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/masyn-mcwilliams-1.html,Masyn McWilliams,15,JR,G,5-9,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/prima-chellis-1.html,Prima Chellis,2,JR,F,5-11,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/kelsie-williams-1.html,Kelsie Williams,54,JR,F-C,5-9,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/tori-handley-1.html,Tori Handley,4,SO,G,5-10,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/madison-webb-1.html,Madison Webb,32,FR,F,6-2,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/sara-majorosova-1.html,Sara Majorosova,10,FR,G,5-6,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/mikala-hall-1.html,Mikala Hall,35,JR,G,5-5,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/madison-hackstadt-1.html,Madison Hackstadt,22,SO,F,6-0,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/caite-knutson-1.html,Caite Knutson,33,FR,G-F,6-0,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/tori-hamilton-1.html,Tori Hamilton,44,FR,F,6-5,southern-illinois-edwardsville,2021
https://www.sports-reference.com/cbb/players/zaria-whitlock-1.html,Zaria Whitlock,25,SR,G-F,6-0,southern-illinois-edwardsville,2021
